date,campaign,channel,spend,impressions,clicks,conversions,revenue
2025-03-01,Spring Launch,Search,180,8500,153,5,360
2025-03-02,Brand Refresh,Search,227,9879,207,9,747
2025-03-03,Search Boost,Social,274,11258,270,14,1316
2025-03-04,Spring Launch,Social,321,12637,341,21,2205
2025-03-05,Brand Refresh,Email,368,14016,420,15,1740
2025-03-06,Search Boost,Email,185,15395,277,12,876
2025-03-07,Spring Launch,Search,232,16774,352,19,1596
2025-03-08,Brand Refresh,Search,279,18153,436,27,2565
2025-03-09,Search Boost,Social,326,19532,527,18,1908
2025-03-10,Spring Launch,Social,373,20911,627,28,3276
2025-03-11,Brand Refresh,Email,190,9790,176,9,666
2025-03-12,Search Boost,Email,237,11169,235,15,1275
2025-03-13,Spring Launch,Search,284,12548,301,11,1056
2025-03-14,Brand Refresh,Search,331,13927,376,17,1819
2025-03-15,Search Boost,Social,378,15306,459,24,2832
2025-03-16,Spring Launch,Social,195,16685,300,19,1425
2025-03-17,Brand Refresh,Email,242,18064,379,13,1118
2025-03-18,Search Boost,Email,289,19443,467,21,2037
2025-03-19,Spring Launch,Search,336,20822,562,30,3240
2025-03-20,Brand Refresh,Search,383,9701,291,18,2142
2025-03-21,Search Boost,Social,200,11080,199,7,532
2025-03-22,Spring Launch,Social,247,12459,262,12,1044
2025-03-23,Brand Refresh,Email,294,13838,332,18,1764
2025-03-24,Search Boost,Email,341,15217,411,25,2725
